MB,Datum osnivanja,Naziv preduzeća,Mesto,Poštanski broj,Adresa,Telefon,Pravni oblik,Šifra delatnosti,Naziv delatnosti,APR Status,NBS Status,Bonitetna ocena,Veličina,Promet (RSD),Neto dobit (RSD),Broj zaposlenih,Ebit (RSD),Ebitda (RSD),Email,Zastupnik,PDV Obveznik
21081086,2/6/2015,EPI COMPUTERS DOO BEOGRAD,Vinča,11351,SVETOGORSKA 2,113476549,Društvo sa ograničenom odgovornošću,2620,Proizvodnja računara i periferne opreme,Aktivan,Aktivan,B3,Malo,404151893,5254888,5,5466000,7285000,info@epicomputers.rs,Radomir Stupar,1 mesečni
21119199,7/6/2015,LINK STEEL,Beograd (Palilula),11158,VILINE VODE 47,113316448,Društvo sa ograničenom odgovornošću,2599,Proizvodnja ostalih metalnih proizvoda,Aktivan,Aktivan,C1,Malo,403121936,579892,17,3674000,5909000,finansije@linksteel.rs,Mirjana Milosavljević Živanović,1 mesečni
21150274,11/16/2015,NIEL GROUP DOO,Beograd (Novi Beograd),11150,BULEVAR ARSENIJA ČARNOJEVIĆA 106 BROJ STANA: 2,602461051,Društvo sa ograničenom odgovornošću,4120,Izgradnja stambenih i nestambenih zgrada,Aktivan,Aktivan,C2,Malo,402103931,85427946,8,14317000,53968000,office@nielgroup.rs,Željko Stojković,1 mesečni
21105490,5/12/2015,ROSA CATENE,Smederevo,11300,ĐURE STRUGARA 19,,Društvo sa ograničenom odgovornošću,2815,"Proizvodnja ležajeva, zupčanika i zupčastih pogonskih elemenata",Aktivan,Aktivan,B1,Malo,401108892,35258972,23,44497000,53904000,bradonjic@rosacatene.rs,Dalibor Petrović,1 mesečni
21116882,6/25/2015,CE GROUP DOO,Beograd (Savski Venac),11040,LJUTICE BOGDANA 15,692634820,Društvo sa ograničenom odgovornošću,7112,Inženjerske delatnosti i tehničko savetovanje,Aktivan,Aktivan,B3,Malo,398201930,32910928,70,30857000,37873000,cegroup.info@gmail.com,Petar Franeta,1 mesečni
21077232,1/26/2015,SERBIAL DOO SEDLARE,Sedlare,35211,RESAVSKA 40,638158558,Društvo sa ograničenom odgovornošću,2512,Proizvodnja metalnih vrata i prozora,Aktivan,Aktivan,B2,Malo,396692967,31171953,32,37504000,45780000,office@serbial.com,Predrag Jovanović,1 mesečni
21156892,12/10/2015,KALMAN HRAM DOO,Beograd (Vračar),11118,BORISLAVA PEKIĆA 9,113194137,Društvo sa ograničenom odgovornošću,4120,Izgradnja stambenih i nestambenih zgrada,Aktivan,Aktivan,D2,Malo,392153892,-3245945,1,-3148000,-3011000,office@kalman.rs,Duško Martinović,1 mesečni
21084093,2/20/2015,BCG PROJECT D.O.O. BEOGRAD,Beograd (Savski Venac),11102,"DURMITORSKA 3, LOKAL 2 I 2A",,Društvo sa ograničenom odgovornošću,4651,"Trgovina na veliko računarima, računarskom opremom i softverima",Aktivan,Aktivan,B3,Malo,390208926,11720885,5,14309000,14719000,,Dragomir Stanković,1 mesečni
21157988,12/16/2015,M-T GROUP D.O.O,Beograd (Rakovica),11231,PODAVALSKA 2 B,113531726,Društvo sa ograničenom odgovornošću,2790,Proizvodnja ostale električne opreme,Aktivan,Aktivan,B3,Malo,387703987,12366980,44,20591000,36823000,office@maktrade.rs,Slavko Radmilović,1 mesečni
21153214,11/26/2015,ODEN DOO BEOGRAD,Beograd (Novi Beograd),11070,"BULEVAR MIHAILA PUPINA 10E SPRAT: VP, BROJ STANA: 65",,Društvo sa ograničenom odgovornošću,7112,Inženjerske delatnosti i tehničko savetovanje,Aktivan,Aktivan,B2,Malo,383809953,25345960,6,29591000,30010000,info@oden.rs,Milorad Jovanović,1 mesečni
21085251,2/25/2015,VUKOVIĆ COMMERCE 2015 DOO VETERNIK,Veternik,21203,NOVOSADSKI PUT 106,21820205,Društvo sa ograničenom odgovornošću,4941,Drumski prevoz tereta,Aktivan,Aktivan,D1,Malo,379996886,-14414942,4,74080000,117586000,vukoviccommerce2015@gmail.com,Stevan Janković,1 mesečni
21095249,4/1/2015,SVEPRO D.O.O,Beograd (Zemun),11186,BATAJNIČKI DRUM 283 C SPRAT: P,113230756,Društvo sa ograničenom odgovornošću,2511,Proizvodnja metalnih konstrukcija i delova konstrukcija,Aktivan,Aktivan,C2,Malo,379744963,1952934,42,6929000,13236000,office@svepro.rs,Carl Christian Carlsson,1 mesečni
21104329,5/7/2015,GAS INSTALATION DOO,Beograd (Zemun),11273,ŠANGAJSKA 91C,63333681,Društvo sa ograničenom odgovornošću,4669,Trgovina na veliko ostalim mašinama i opremom,Aktivan,Aktivan,C3,Malo,378941972,7788887,36,10113000,15920000,gasinstalation012beograd@gmail.com,Radenko Vejnović,1 mesečni
21157716,12/15/2015,ECCO FOOTWEAR,Beograd (Novi Beograd),11070,BULEVAR ZORANA ĐINĐIĆA 64A SPRAT: IV,,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,C2,Malo,376215925,-17885979,45,9438000,16685000,info-serbia@eccoshops.com,Dalibor Šuba,1 mesečni
21114065,6/15/2015,D.O.O. VRECOOL,Subotica,24000,TRG CARA JOVANA NENADA 15/6,,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,B3,Malo,373304979,18665887,13,21287000,23507000,info@vrecool.com,Attila Kocsis Szurke,1 mesečni
21090727,3/16/2015,WINDOW PLUS D.O.O,Stara Pazova,22300,NOVOSADSKA 85A,,Društvo sa ograničenom odgovornošću,2223,Proizvodnja predmeta od plastike za građevinarstvo,Aktivan,Aktivan,B2,Malo,365196911,46427969,22,52953000,58254000,dobrinka.miletic@windowplus.rs,Dobrinka Miletić,1 mesečni
21078107,1/28/2015,PALAS SISTEM DOO ŠABAC,Šabac,15000,KOSTE ABRAŠEVIĆA 10C,,Društvo sa ograničenom odgovornošću,4673,"Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom",Aktivan,Aktivan,B1,Malo,362999904,4498884,8,6636000,7317000,ivan.stanisic@palas.co.rs,Ivan Stanišić,1 mesečni
21077143,1/26/2015,IMPERIAL AGRO DOO,Sremska Mitrovica,22000,FRUŠKOGORSKA 175,642205368,Društvo sa ograničenom odgovornošću,4621,"Trgovina na veliko žitom, sirovim duvanom, semenjem i hranom za životinje",Aktivan,Aktivan,D1,Malo,362144887,1653906,3,2089000,3998000,imperialagrodoo@gmail.com,Biljana Milošević,1 mesečni
21154806,12/2/2015,TTK TRAFFIC D.O.O,Surčin,11271,PATRIJARHA PAVLA 1,,Društvo sa ograničenom odgovornošću,2599,Proizvodnja ostalih metalnih proizvoda,Aktivan,Aktivan,C1,Malo,360911986,25620966,21,36062000,43393000,office@ttk.rs,Miloš Krstajić,1 mesečni
21096199,4/6/2015,SLOBODA GRAĐEVINAR 1947 D.O.O,Obrenovac,11500,SAVE KOVAČEVIĆA 27,114142116,Društvo sa ograničenom odgovornošću,2361,Proizvodnja proizvoda od betona namenjenih za građevinarstvo,Aktivan,Aktivan,C3,Malo,351697915,8873915,25,12392000,25010000,office@gpsloboda.rs,Miodrag Kokanović,1 mesečni
21100765,4/23/2015,TRONREUNION D.O.O. PARAĆIN,Paraćin,35250,ČIKA TASINA 29,,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,C2,Malo,350461966,14125992,3,36699000,37985000,,Dobrivoje Jovanović,1 mesečni
21149560,11/12/2015,MILENKOVIĆ INVEST MDM DOO,Pančevo,26101,VELJKA PETROVIĆA 11A,63666691,Društvo sa ograničenom odgovornošću,4120,Izgradnja stambenih i nestambenih zgrada,Aktivan,Aktivan,B2,Malo,340126895,19272964,34,20558000,20558000,office@smartblock.rs,Mladen Milenković,1 mesečni
21119431,7/7/2015,LA VILLE INVEST D.O.O. OBRENOVAC,Obrenovac,11500,KNEZA SIME MARKOVIĆA 6V,692414244,Društvo sa ograničenom odgovornošću,4120,Izgradnja stambenih i nestambenih zgrada,Aktivan,Aktivan,B1,Malo,339446936,41790937,2,49131000,50560000,lavilleinvest@outlook.fr,Saša Jovanović,1 mesečni
21127353,8/13/2015,SIM METAL 2015 DOO SREMSKA MITROVICA,Sremska Mitrovica,22000,STEVANA MOKRANJCA 63,611593838,Društvo sa ograničenom odgovornošću,3832,Ponovna upotreba razvrstanih materijala,Aktivan,Aktivan,A3,Malo,338636914,19008972,8,23759000,28198000,simmetal2015@gmail.com,Aleksandar Nešković,1 mesečni
21121851,7/16/2015,HORTICENTAR ADRIA DOO,Ruma,22400,RUMSKA PETLJA 3,665099555,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,D3,Malo,338240984,-21675962,10,-20251000,-18316000,info@horticentar.rs,Aleksandar Stojkov,1 mesečni
21143766,10/19/2015,EKO GROCKA D.O.O. GROCKA,Grocka,11306,PETRA DRAPŠINA 21,114410101,Društvo sa ograničenom odgovornošću,3811,Skupljanje otpada koji nije opasan,Aktivan,Aktivan,C2,Malo,337411980,18683932,135,19097000,33428000,office@ekogrocka.rs,Nikola Macanović,1 mesečni
21102687,4/30/2015,SWISS PAPIER,Beograd (Novi Beograd),11073,"BULEVAR HEROJA SA KOŠARA 6 SPRAT: 8, BROJ STANA: 1.39",,Društvo sa ograničenom odgovornošću,1712,Proizvodnja papira i kartona,Aktivan,Aktivan,C1,Malo,335376907,4773890,47,22635000,37177000,spapirag@gmail.com,Jugoslav Cvetković,1 mesečni
21083879,2/20/2015,MAXIM MEDIA PLUS DOO,Beograd (Vračar),11111,ALEKSE NENADOVIĆA 19-21 SPRAT: III,114049881,Društvo sa ograničenom odgovornošću,7311,Delatnost reklamnih agencija,Aktivan,Aktivan,A3,Malo,332610905,95828987,15,124329000,132581000,marketing@maximmedia.net,Miloš Krdžić,1 mesečni
21086207,2/27/2015,MP ROYAL CORPORATION DOO,Vraneša,31318,PRIBOJSKA 6,648233032,Društvo sa ograničenom odgovornošću,4941,Drumski prevoz tereta,Aktivan,Aktivan,C3,Malo,328608954,6414908,16,33447000,51268000,office@mproyal.com,Milanko Pušičić,1 mesečni
21117137,6/26/2015,TRADITIONAL FOOD DOO,Aranđelovac,34300,CARA DUŠANA 1,63444497,Društvo sa ograničenom odgovornošću,1039,Ostala prerada i konzervisanje voća i povrća,Aktivan,Aktivan,C1,Malo,326914974,674920,20,3030000,6298000,i.paunovic@traditionalfood.rs,Krsta Paunović,1 mesečni
21075728,1/20/2015,YALA HABIBI DOO,Beograd (Čukarica),11030,PERE TODOROVIĆA 23,113441994,Društvo sa ograničenom odgovornošću,4639,"Nespecijalizovana trgovina na veliko hranom, pićima i duvanom",Aktivan,Aktivan,A3,Malo,326534980,23702950,4,27206000,30892000,elnil@elnilcompany.com,Mamdouh Deyab,1 mesečni
21159409,12/22/2015,LOGIFUTURE RS DOO,Beograd (Novi Beograd),11073,OMLADINSKIH BRIGADA 90A SPRAT: 5,,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,A3,Malo,323020940,12537937,49,15209000,17511000,managementserbia@logifuture.com,Ana Begenišić,1 mesečni
21157503,12/14/2015,DOMAĆIN TOPOLA DOO,Vinča,34314,SELO VINČA,34826585,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,B2,Malo,320690941,1409951,14,2317000,2421000,domacin.org@gmaill.com,Radoslav Nedeljković,1 mesečni
21137448,9/22/2015,CUBES DOO,Beograd (Novi Beograd),11070,BULEVAR MIHAILA PUPINA 181 SPRAT: 2,113192013,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,A2,Malo,319547912,68411981,46,94212000,98512000,office@cubes.rs,Miodrag Lapčević,1 mesečni
21115932,6/22/2015,ABAZIJA DOO PLANDIŠTE,Plandište,26360,NJEGOŠEVA 2,63248076,Društvo sa ograničenom odgovornošću,111,"Gajenje žita (osim pirinča), leguminoza i uljarica",Aktivan,Aktivan,C2,Malo,317201977,518962,7,2171000,2171000,,Zoran Popović,1 mesečni
21151041,11/17/2015,DOGMA BREWERY DOO,Beograd (Čukarica),11030,RADNIČKA 3,114072965,Društvo sa ograničenom odgovornošću,1105,Proizvodnja piva,Aktivan,Aktivan,B2,Malo,315116989,4794982,45,12913000,21515000,office@dogmabrewery.com,Vladimir Stojković,1 mesečni
21106364,5/15/2015,NON STOP FITNESS,Beograd (Vračar),11118,RUDNIČKA 1,,Društvo sa ograničenom odgovornošću,9313,Delatnost fitnes klubova,Aktivan,Aktivan,B3,Malo,311336965,34895968,43,45990000,59464000,info@nonstopfitness.rs,Mathias Lennart Stillfors,1 mesečni
21116491,6/24/2015,NAVITAS DOO BEOGRAD,Beograd (Zvezdara),11160,VLADISLAVA BAJČEVIĆA 17 5,,Društvo sa ograničenom odgovornošću,7112,Inženjerske delatnosti i tehničko savetovanje,Aktivan,Aktivan,C3,Malo,310927912,3059991,4,5805000,6457000,office@navitas.rs,Dalibor Marković,1 mesečni
21157813,12/15/2015,BABOVIĆ D.O.O. LJIG,Ljig,14240,HADŽI RUVIMOVA BB,143443678,Društvo sa ograničenom odgovornošću,4719,Ostala trgovina na malo u nespecijalizovanim prodavnicama,Aktivan,Aktivan,B3,Malo,310606973,7907935,8,10305000,12582000,srdjanbabovic.doobabovic@gmail.com,Srđan Babović,1 mesečni
21087114,3/3/2015,BEOHRAM-PLUS D.O.O,Beograd (Čukarica),11250,SVETE MILUTINOVIĆA 138,114043991,Društvo sa ograničenom odgovornošću,2223,Proizvodnja predmeta od plastike za građevinarstvo,Aktivan,Aktivan,B2,Malo,309525928,13851923,23,17353000,32982000,office@beohramplus.rs,Dušan Kekić,1 mesečni
21136549,9/17/2015,DIORIT - SRB DOO,Beograd (Stari Grad),11102,"ZMAJ-JOVINA 6 SPRAT: 3, BROJ STANA: 4",603751910,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,A3,Malo,309034970,51384885,3,49583000,50775000,mario.vrdoljak@diorit.biz,Mario Vrdoljak,1 mesečni
21081337,2/9/2015,CITY EXPERT GLOBAL D.O.O,Beograd (Stari Grad),11102,KNEZA MIHAILA 1-3 SPRAT: 7,114426000,Društvo sa ograničenom odgovornošću,6831,Delatnost agencija za nekretnine,Aktivan,Aktivan,D3,Malo,307230964,-39331930,90,-10939000,-5841000,info@cityexpert.rs,Miloš Mitić,1 mesečni
21147427,11/3/2015,BUTTERFLY LINE 1974 DOO,Beograd (Stari Grad),11158,DUBROVAČKA 30,112928696,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,D1,Malo,304074891,739951,6,8671000,21195000,waitenstain@gmail.com,Nebojša Petrović,1 mesečni
21133132,9/4/2015,OLEOHEMIJA D.O.O,Beograd (Voždovac),11041,GENERALA ŠTEFANIKA 37,63447665,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,A2,Malo,300144885,38745944,3,45551000,46392000,oleohemija@gmail.com,Željko Marjanović,1 mesečni
21124281,7/28/2015,OLIMP-EX L.T.D,Beograd (Savski Venac),11040,LJUTICE BOGDANA 1A SPRAT: 1,116662963,Društvo sa ograničenom odgovornošću,4619,Posredovanje u prodaji raznovrsnih proizvoda,Aktivan,Aktivan,B1,Malo,300113951,13545982,10,15562000,15859000,office@olimpexltd.rs,Vladislav Kutanjac,1 mesečni
21114235,6/15/2015,KKM POWER D.O.O. BEOGRAD,Beograd (Zvezdara),11050,MIODRAGA PETROVIĆA ČKALJE 7/6,62792350,Društvo sa ograničenom odgovornošću,2599,Proizvodnja ostalih metalnih proizvoda,Aktivan,Aktivan,E3,Malo,300095906,-75609962,26,-66863000,-64322000,mg@kkmpower.com,Marica Gostić,1 mesečni
21147460,11/3/2015,PUNTO BLU D.O.O.,Beograd (Vračar),11118,"HADŽI-MELENTIJEVA 59 SPRAT: 3, BROJ STANA: 4",113282320,Društvo sa ograničenom odgovornošću,4642,Trgovina na veliko odećom i obućom,Aktivan,Aktivan,E1,Malo,299835898,197906,29,-3286000,6636000,jelena.iskrin@puntoblu.rs,Jelena Iskrin,1 mesečni
21152358,11/20/2015,RAST ŠPED 2002,Kragujevac,34110,7 SEKRETARA SKOJA 12,34370318,Društvo sa ograničenom odgovornošću,4941,Drumski prevoz tereta,Aktivan,Aktivan,B1,Malo,297644984,39386884,24,45697000,56624000,rast@hotmail.rs,Vojislav Filimonović,1 mesečni
21104825,5/8/2015,MULTIFOOD,Novi Sad,21141,BOŽIDARA KOVAČEKA 2A,213010164,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,B2,Malo,297197966,12090919,12,16111000,18924000,multifooddoo@gmail.com,Nikola Mihajlović,1 mesečni
21160717,12/29/2015,PRVA PETOLETKA-ZAPTIVNI ELEMENTI DOO TRSTENIK,Trstenik,37240,KRSTE BOSANCA 66,63608668,Društvo sa ograničenom odgovornošću,2219,Proizvodnja ostalih proizvoda od gume,Aktivan,Aktivan,B2,Malo,295034940,36053995,129,40405000,45885000,zaptivke@pptzaptivke.rs,Dušan Stevanović,1 mesečni
21132799,9/3/2015,QUANTUM PRINTING HOUSE DOO,Beograd (Novi Beograd),11070,PREKONOŠKA ULICA 34,114145018,Društvo sa ograničenom odgovornošću,7311,Delatnost reklamnih agencija,Aktivan,Aktivan,B2,Malo,294824964,22979988,37,31003000,48901000,info@quantumph.rs,Miroslav Plećaš,1 mesečni
21144533,10/21/2015,NAŠA JABUKA DOO,Vodanj,11328,SMEDEREVSKA 71B,63371737,Društvo sa ograničenom odgovornošću,124,Gajenje jabučastog i koštičavog voća,Aktivan,Aktivan,D2,Malo,291372910,58820963,16,122747000,140920000,info@nasajabuka.rs,Ljubomir Milošević,1 mesečni
21146986,11/2/2015,GREEN OIL SOLUTION D.O.O. BEOGRAD,Beograd (Novi Beograd),11189,TOŠIN BUNAR 188A BROJ STANA: 38,,Društvo sa ograničenom odgovornošću,4753,"Trgovina na malo tepisima, zidnim i podnim oblogama u specijalizovanim prodavnicama",Aktivan,Aktivan,B1,Malo,290517893,10136931,24,12893000,14010000,office@greenoil.rs,Dario Mimica,1 mesečni
21132209,9/1/2015,BEOROOFING MB D.O.O,Beograd (Čukarica),11030,KRALJICE KATARINE 84,,Društvo sa ograničenom odgovornošću,4399,Ostali nepomenuti specifični građevinski radovi,Aktivan,Aktivan,C1,Malo,289175903,18423923,26,21065000,26180000,beoroofingmb@gmail.com,Milan Babić,1 mesečni
21110655,6/1/2015,DELGARO DOO,Deliblato,26225,PAJE MARGANOVIĆA 37,13765105,Društvo sa ograničenom odgovornošću,4621,"Trgovina na veliko žitom, sirovim duvanom, semenjem i hranom za životinje",Aktivan,Aktivan,C1,Malo,287472901,1137990,6,1704000,2467000,doodelgaro@yahoo.com,Daniel Gava,1 mesečni
21084689,2/24/2015,SHIMADZU,Beograd (Novi Beograd),11070,MILUTINA MILANKOVIĆA 27,117115449,Društvo sa ograničenom odgovornošću,4646,Trgovina na veliko farmaceutskim proizvodima,Aktivan,Aktivan,D1,Malo,285200902,4925982,15,7319000,11286000,shimadzu@shimadzu.rs,Gordan Tomac,1 mesečni
21078948,1/30/2015,MANTEH DOO,Novi Sad,21124,JOVANA OROSA 22,216399915,Društvo sa ograničenom odgovornošću,2932,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,Aktivan,Aktivan,C3,Malo,284092908,5478925,27,7293000,8817000,andrija.matko@gmail.com,David Matković,1 mesečni
21089273,3/11/2015,ABM ART PROPERTY DOO,Beograd (Vračar),11118,HADŽI MELENTIJEVA 28,,Društvo sa ograničenom odgovornošću,4120,Izgradnja stambenih i nestambenih zgrada,Aktivan,Aktivan,B3,Malo,282800951,4490916,4,4973000,4973000,jocovicm@gmail.com,Milosav Jocović,1 mesečni
21077682,1/27/2015,SIM SOLUTION DOO,Beograd (Novi Beograd),11070,BULEVAR MIHAJLA PUPINA 115V,642425265,Društvo sa ograničenom odgovornošću,4619,Posredovanje u prodaji raznovrsnih proizvoda,Aktivan,Aktivan,C1,Malo,282116891,4944964,7,6286000,7583000,office@simsolution.rs,Đorđe Simić,1 mesečni
21107280,5/19/2015,SRBOTEX,Beograd (Čukarica),11136,JABLANIČKA 184,,Društvo sa ograničenom odgovornošću,4641,Trgovina na veliko tekstilom,Aktivan,Aktivan,C1,Malo,277224889,18551994,2,22598000,23044000,srbotex@gmail.com,Gregor Bavec,1 mesečni
21084409,2/23/2015,3AP DOO,Beograd (Novi Beograd),11070,MILUTINA MILANKOVIĆA 1I SPRAT: 6,646490849,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,A1,Malo,275544969,4438891,41,5736000,9597000,filip.tomasevic@3ap.ch,Filip Tomašević,1 mesečni
21160539,12/28/2015,DREN HORECA,Beograd (Voždovac),11010,KRIVOLAČKA 20,,Društvo sa ograničenom odgovornošću,4634,Trgovina na veliko pićima,Aktivan,Aktivan,C3,Malo,272541925,2960979,11,31336000,31653000,igor.peric@drenhoreca.rs,Igor Perić,1 mesečni
21114553,6/16/2015,HELDIĆ TRADE COMPANY DOO,Beograd (Novi Beograd),11271,AUTO PUT ZA ZAGREB 65,605167474,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,A3,Malo,270503922,2177907,3,1585000,3015000,heldictradecompanydoo@gmail.com,Jelena Vidaković,1 mesečni
21131156,8/27/2015,BP CONSULTING PROJECT D.O.O,Kruševac,37000,MIĆE POPOVIĆA 25/1,641644401,Društvo sa ograničenom odgovornošću,7112,Inženjerske delatnosti i tehničko savetovanje,Aktivan,Aktivan,C1,Malo,269160995,45415940,43,50404000,56092000,bpc.sasa@gmail.com,Saša Milosavljević,1 mesečni
21143413,10/16/2015,DIGITAL FINANCE INTERNATIONAL D.O.O,Beograd (Novi Beograd),11197,JURIJA GAGARINA 225,113640652,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,E3,Malo,268174978,-469502947,96,-450664000,-449305000,dfiserbia@gmail.com,Goran Borčić,
21099759,4/20/2015,S-LOGISTIC WORLD DOO,Beograd (Zemun),11273,KLISINA 9 NOVA 2,62700070,Društvo sa ograničenom odgovornošću,4941,Drumski prevoz tereta,Aktivan,Aktivan,D2,Malo,265896887,4295939,21,11566000,21899000,office@s-logistic.rs,Stefan Simić,1 mesečni
21150665,11/17/2015,SM VORTEX DOO,Inđija,22320,JUG BOGDANA 72,,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,B2,Malo,263770887,1042963,12,1382000,1382000,,Nebojša Ivaniš,1 mesečni
21091898,3/20/2015,INTELISALE D.O.O,Beograd (Savski Venac),11040,BULEVAR VOJVODE PUTNIKA 68 G,638353961,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,A2,Malo,260561968,7377959,46,13521000,16274000,contacts@intelisale.com,Nemanja Mališić,1 mesečni
21155195,12/4/2015,ART BULLY PRODUCTIONS,Beograd (Stari Grad),11103,TAKOVSKA 23-25,,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,A2,Malo,258842913,157950,56,2287000,7958000,ivan.jankovic@artbullyproductions.com,Ivan Janković,1 mesečni
21079014,1/30/2015,PANVITA AVE D.O.O,Beograd (Zvezdara),11050,"NARODNOG FRONTA 12 SPRAT: PRIZEMLJE, BROJ STANA: 1",668890077,Društvo sa ograničenom odgovornošću,4632,Trgovina na veliko mesom i proizvodima od mesa,Aktivan,Aktivan,D2,Malo,256758979,371909,2,948000,962000,b.donevski@panvita-ave.rs,Peter Polanič,1 mesečni
21153575,11/27/2015,VALSPAR D.O.O,Beograd (Novi Beograd),11150,"BULEVAR ARSENIJA ČARNOJEVIĆA 102 SPRAT: 2, BROJ STANA: 6",113282667,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,E2,Malo,253081951,-3422995,6,-2871000,-2102000,ivana.simic@sherwin.com,Jeffrey Miklich,1 mesečni
21124419,7/29/2015,ŠKOLSKA KNJIGA NS DOO DOO,Novi Sad,21138,ŽIVOJINA ĆULUMA 32,21410405,Društvo sa ograničenom odgovornošću,8899,Ostala nepomenuta socijalna zaštita bez smeštaja,Aktivan,Aktivan,C3,Malo,251892989,1188961,12,2819000,3549000,skolskaknjigans01@gmail.com,Uroš Milojković,1 mesečni
21092797,3/24/2015,MESARA FILE DOO,Brusnica,32300,BRUSNICA BB,641506176,Društvo sa ograničenom odgovornošću,4722,Trgovina na malo mesom i proizvodima od mesa u specijalizovanim prodavnicama,Aktivan,Aktivan,A3,Malo,251619975,6900945,12,9808000,11291000,slobofile1@gmail.com,Slobodan Raičević,1 mesečni
21128384,8/14/2015,KAPEWOOD DOO,Beograd (Novi Beograd),11077,ISMETA MUJEZINOVIĆA 15/2/11,603304010,Društvo sa ograničenom odgovornošću,3109,Proizvodnja ostalog nameštaja,Aktivan,Aktivan,C2,Malo,251123978,25167973,36,32319000,37194000,kapewood@gmail.com,Dejan Kapetanović,1 mesečni
21110051,5/28/2015,QUALITY LIVING D.O.O,Beograd (Stari Grad),11103,"HILANDARSKA 16 SPRAT: I, BROJ STANA: 5",63379907,Društvo sa ograničenom odgovornošću,4647,"Trgovina na veliko nameštajem, tepisima i opremom za osvetljenje",Aktivan,Aktivan,B1,Malo,250730978,12971948,3,15658000,16786000,office@qualityliving.rs,Mileva Vasić,1 mesečni
21107832,5/20/2015,SFIS D.O.O.,Beograd (Rakovica),11165,ĐUJE I DRAGOLJUBA 1,113565367,Društvo sa ograničenom odgovornošću,7830,Ostalo ustupanje ljudskih resursa,Aktivan,Aktivan,B3,Malo,250665946,1798967,188,4135000,5006000,office@sfis.rs,Željko Vujanić,1 mesečni
21108731,5/25/2015,ONLINE INTERNATIONAL MARKETING D.O.O. BEOGRAD,Beograd (Palilula),11108,LJUBOMIRA STOJANOVIĆA 5,112750501,Društvo sa ograničenom odgovornošću,7311,Delatnost reklamnih agencija,Aktivan,Aktivan,C1,Malo,248950992,-3441977,148,-224000,1844000,milica.micka@ekokonto.rs,Dejan Ćirković,1 mesečni
21129038,8/19/2015,ROHNE RECYCLING DOO,Beograd (Zvezdara),11160,"MATICE SRPSKE 105 SPRAT: 1, BROJ STANA: 1",64648196,Društvo sa ograničenom odgovornošću,3811,Skupljanje otpada koji nije opasan,Aktivan,Aktivan,C3,Malo,247328957,5204972,2,9406000,10289000,rdinic@pet4pet.eu,Aleksandar Nikolić,1 mesečni
21086665,3/2/2015,BAUWIN DECOR DOO,Beograd (Rakovica),11165,GOČKA 57D,666434477,Društvo sa ograničenom odgovornošću,2223,Proizvodnja predmeta od plastike za građevinarstvo,Aktivan,Aktivan,C2,Malo,246948962,8769982,50,10277000,14671000,bauwin.jasmin@gmail.com,Jasmin Kurtanović,1 mesečni
21137499,9/22/2015,KOCKARIUM DOO,Belo Polje,11500,KOLUBARSKA 30,118727538,Društvo sa ograničenom odgovornošću,4791,Trgovina na malo posredstvom pošte ili preko interneta,Aktivan,Aktivan,B2,Malo,246576936,7205948,15,9058000,10863000,nikola@kockarium.rs,Nikola Veselinović,1 mesečni
21082635,2/13/2015,M.D.S. COMPANYVOD DOO,Osonica,32250,OSONICA BB,628801068,Društvo sa ograničenom odgovornošću,2222,Proizvodnja ambalaže od plastike,Aktivan,Aktivan,B3,Malo,246462926,3251921,16,5185000,5392000,pedja.ristic1@gmail.com,Duško Savić,1 mesečni
